home_win_count,away_win_count,h2h_home_win_count,h2h_away_win_count,home_mean_goals_scored,home_mean_goals_conceded,home_std_goals_scored,home_std_goals_conceded,away_mean_goals_scored,away_mean_goals_conceded,away_std_goals_scored,away_std_goals_conceded,h2h_home_mean_goals,h2h_away_mean_goals,h2h_home_std_goals,h2h_team_std_goals,home_rank - away_rank,home_rank_change,away_rank_change,home_team_opposition_rank_diff,away_team_opposition_rank_diff,is_friendly,is_qualifier,is_tournament,home_match_for_home_team,home_team_win,draw,away_team_win
6.0,7.0,8.0,0.0,2.3,2.2,2.238302928559939,1.4,0.9,1.8,1.1357816691600549,0.9797958971132712,3.4444444444444446,0.8888888888888888,2.006163342807532,0.5665577237325317,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
8.0,5.0,0.0,1.0,1.1,2.7,0.7,2.4919871588754225,2.7,2.3,2.4515301344262523,1.345362404707371,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
6.0,6.0,0.0,1.0,2.2,2.4,1.4696938456699067,1.5620499351813308,2.0,2.0,1.6733200530681511,1.2649110640673518,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
5.0,7.0,0.0,2.0,2.7,1.4,1.7349351572897473,1.2,1.7,1.5,1.1874342087037917,0.806225774829855,1.0,3.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
5.0,5.0,0.0,0.0,1.7,2.1,1.3453624047073711,1.2206555615733703,3.3,1.9,2.282542442102666,1.5132745950421556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
3.0,0.0,0.0,0.0,1.0,1.9,1.2649110640673518,1.5132745950421556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
3.0,0.0,0.0,1.0,1.0,2.0,1.2649110640673518,1.5491933384829668,3.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
3.0,0.0,0.0,1.0,1.1,1.8,1.2206555615733703,1.5362291495737217,2.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2.0,3.0,3.0,0.0,2.0,1.7142857142857142,1.6035674514745464,1.6659862556700857,1.5,3.0,0.806225774829855,2.0,3.6666666666666665,1.0,0.4714045207910317,0.816496580927726,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
6.0,0.0,0.0,0.0,2.111111111111111,2.5555555555555554,1.1967032904743342,1.7069212773041351,3.3333333333333335,0.6666666666666666,2.0548046676563256,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
3.0,6.0,0.0,0.0,1.3333333333333333,3.2222222222222223,1.4142135623730951,2.298684540619689,2.5,1.7,2.1563858652847827,1.0999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
7.0,1.0,1.0,0.0,2.2,2.5,1.1661903789690602,1.6278820596099706,3.0,1.25,1.8708286933869707,1.0897247358851685,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
5.0,8.0,6.0,0.0,2.8,1.1,3.6823905279043934,2.0223748416156684,1.2,1.8,1.0770329614269007,1.7204650534085253,2.7142857142857144,0.5714285714285714,1.1605769149479945,0.7284313590846835,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
3.0,0.0,0.0,0.0,2.3333333333333335,1.6666666666666667,3.496029493900505,1.795054935711501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
8.0,2.0,2.0,0.0,2.4,2.3,1.42828568570857,1.7916472867168918,2.4,2.0,2.0591260281974,1.7888543819998317,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
8.0,6.0,0.0,7.0,1.1,2.1,1.1357816691600549,2.507987240796891,3.7,1.1,3.976179070414209,2.0223748416156684,0.5,3.5,0.7071067811865476,2.345207879911715,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
5.0,6.0,0.0,0.0,1.6,3.5,1.2,3.8535697735995385,1.5,1.8,0.9219544457292888,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
5.0,5.0,0.0,0.0,2.5,1.4,1.284523257866513,1.2,1.1,3.3,0.9433981132056604,1.6155494421403511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
1.0,4.0,0.0,1.0,1.0,7.0,0.0,0.0,3.0,1.5714285714285714,3.625307868699863,1.6781914463529615,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
