X_Principal0,X_Principal1,X_Principal2,XPrincipal3,Target_Outcome_Win,Target_Outcome_Loss,Target_Outcome_Tie,date,home_team,away_team,tournament
0.2255527850117383,-2.8191473227033823,-1.810727699365844,-3.6393451247296813,0,0,1,1993-01-01,Ghana,Mali,0
0.3376030977005807,-2.819865825898739,-1.808970221182955,-3.6517725034166415,0,0,1,1993-01-02,Gabon,Burkina Faso,0
-0.32195185308705965,-0.8432566175638511,-1.4060582787159077,-0.6600732960236773,1,0,0,1993-01-03,Burkina Faso,Mali,0
-0.20990154039796607,-0.8439751207589352,-1.4043008005330693,-0.6725006747106202,0,1,0,1993-01-03,Gabon,Ghana,0
-0.16662330940055628,-2.816632561520157,-1.81687887300586,-3.595849299325465,1,0,0,1993-01-08,Uganda,Tanzania,0
0.15085257655206807,-2.8186683205732397,-1.811899351487707,-3.6310602056050785,0,0,1,1993-01-09,Sierra Leone,Togo,1
-0.5027742474678826,-2.814477051934903,-1.8221513075546198,-3.558567163264813,0,0,1,1993-01-10,Angola,Zimbabwe,1
-0.19463588757267228,-2.816452935721522,-1.8173182425514791,-3.5927424546537963,0,1,0,1993-01-10,Botswana,South Africa,0
-0.25066104391729266,-2.8160936841239583,-1.8181969816429815,-3.58652876531036,0,1,0,1993-01-10,Senegal,Algeria,1
-0.16662330940031114,-2.816632561520364,-1.816878873006048,-3.5958492993253466,1,0,0,1993-01-10,Tunisia,Bulgaria,0
3.280161775989188,1.4759717360183893,1.2617918377038932,1.7514263649468529,1,0,0,1993-01-10,Uganda,Tanzania,0
0.8374609132791623,0.11813348711438769,-2.0063746577859853,-2.6399232165275417,0,0,1,1993-01-16,South Africa,Nigeria,1
-1.0714499414754548,-3.386439016779995,-1.153891754408024,-1.2974337411846217,0,1,0,1993-01-16,Tanzania,Zambia,1
-3.6642656393340856,1.7234833006721142,-1.9767420375720932,-0.5595399577389643,0,1,0,1993-01-17,Benin,Tunisia,1
-2.18427499867908,-0.2716572737892525,-1.6590433086702445,-0.8768685912331676,0,0,1,1993-01-17,Burundi,Algeria,1
-0.46542414323804593,-2.8147165529999363,-1.8215654814935482,-3.5627096228270543,0,1,0,1993-01-17,Ethiopia,Morocco,1
-1.1767306880001436,-1.5108203952026489,-1.3662553717657628,-0.7004004440014322,0,0,1,1993-01-17,Mozambique,Gabon,1
-0.820250133420246,-2.812441292881968,-1.827130829072647,-3.523356256985168,0,0,1,1993-01-17,Eswatini,Cameroon,1
-1.0432942915209893,-1.7848695604767015,-1.6061461378554809,-1.8862100653871388,0,1,0,1993-01-17,Togo,Zimbabwe,1
-0.26698316401999256,-1.8697505951763749,-1.6296791872073724,-2.2785784195913226,0,0,1,1993-01-18,Angola,Egypt,1
-0.5587994038123086,-2.8141178003373137,-1.8230300466459426,-3.5523534739212947,1,0,0,1993-01-20,Guinea-Bissau,Guinea,0
-0.9789880763964955,-2.811423413355509,-1.8296205898317166,-3.505750803845375,0,0,1,1993-01-20,India,Finland,1
0.1601901026095199,-2.8187281958395127,-1.8117528949725064,-3.632095820495647,1,0,0,1993-01-20,Italy,Mexico,0
0.15085257655209344,-2.8186683205732495,-1.811899351487747,-3.6310602056050714,0,0,1,1993-01-22,Cameroon,Finland,1
-0.5587994038123086,-2.8141178003373137,-1.8230300466459426,-3.5523534739212947,0,0,1,1993-01-23,Japan,Switzerland,0
1.635622088306057,-0.6735303671220261,-1.5567615906007541,-1.569702272832229,1,0,0,1993-01-23,Ghana,Niger,0
-0.09679625815613742,0.865779116202505,-1.6348912000747418,-0.5162071037129495,0,1,0,1993-01-23,Guinea-Bissau,Algeria,1
-0.4934367214103248,-2.81453692720115,-1.8220048510392666,-3.5596027781553268,0,0,1,1993-01-23,Venezuela,Peru,0
-1.1844136496598745,-2.8101061574977373,-1.8328426331669845,-3.4829672762527033,0,0,1,1993-01-24,India,Cameroon,1
-0.4280740390083402,-2.8149560540649863,-1.8209796554325905,-3.5668520823893592,0,1,0,1993-01-24,Malta,Portugal,1
-0.6331422142150143,-2.056316749863712,-1.1001437904602722,-0.16276943949125602,0,0,1,1993-01-24,Togo,Senegal,1
-0.7922375552479685,-2.812620918680755,-1.8266914595269288,-3.5264631016568955,0,1,0,1993-01-25,Bolivia,Russia,1
-0.7070233547250812,-2.3400481268695814,-1.7309679971566996,-2.8828440777031656,0,1,0,1993-01-26,India,Finland,1
0.7017666139402481,-2.822200961282727,-1.8032584170886206,-3.6921614841490547,0,0,1,1993-01-27,Ecuador,Belarus,0
-0.4093989868934876,-2.8150758045975106,-1.8206867424021123,-3.5689233121705115,0,0,1,1993-01-27,Peru,Honduras,0
0.7915223393162168,-3.7822853950560353,-1.2828820613745333,-2.2428920647232307,0,0,1,1993-01-27,Spain,Mexico,0
-0.2853160142251531,-1.496528025873688,-1.7791500703472396,-2.5587741670631146,1,0,0,1993-01-28,Cameroon,Finland,1
-0.9196850560177199,-1.3637876131703632,-1.1240374722697133,0.17871673486624157,1,0,0,1993-01-29,Bolivia,Honduras,0
-1.8992374101864298,-1.7034317180786607,-0.6686101433162029,-1.5144750680069636,0,0,1,1993-01-30,India,Cameroon,1
0.3024859267544549,-1.3203799296109404,-1.490651045927929,-1.3823990516611682,0,0,1,1993-01-30,Peru,Belarus,0
0.25224023181697386,-1.1091204527626235,-1.2513541913179187,-0.3375082728475656,1,0,0,1993-01-30,Senegal,Mozambique,1
-0.19463588757268174,-2.8164529357215446,-1.817318242551605,-3.592742454653759,0,0,1,1993-01-30,United States,Denmark,0
