X_Principal0,X_Principal1,Target_Outcome_Win,Target_Outcome_Loss,Target_Outcome_Tie,date,home_team,away_team,tournament
0.7096928904788092,3.1088379892089435,0,0,1,1993-01-01,Ghana,Mali,0
0.8902414352761198,3.079071538375408,0,0,1,1993-01-02,Gabon,Burkina Faso,0
-0.4214499535776965,0.7518291183485061,1,0,0,1993-01-03,Burkina Faso,Mali,0
-0.24090140878038588,0.7220626675149703,0,1,0,1993-01-03,Gabon,Ghana,0
0.07777298368822237,3.2130205671263186,1,0,0,1993-01-08,Uganda,Tanzania,0
0.5893271939472688,3.128682289764634,0,0,1,1993-01-09,Sierra Leone,Togo,1
-0.4638726507037092,3.3023199196269255,0,0,1,1993-01-10,Angola,Zimbabwe,1
0.03263584748889469,3.220462179834702,0,1,0,1993-01-10,Botswana,South Africa,0
-0.05763842490976057,3.2353454052514703,0,1,0,1993-01-10,Senegal,Algeria,1
0.07777298368822237,3.2130205671263186,1,0,0,1993-01-10,Tunisia,Bulgaria,0
0.8419883594944492,-1.4981360059262845,1,0,0,1993-01-10,Uganda,Tanzania,0
-1.017578689394161,2.6092098827847363,0,0,1,1993-01-16,South Africa,Nigeria,1
-1.1994363933796939,0.0477550301808287,0,1,0,1993-01-16,Tanzania,Zambia,1
-2.1539247085646296,2.749225218081344,0,1,0,1993-01-17,Benin,Tunisia,1
-1.2745398462749864,2.279325632900455,0,0,1,1993-01-17,Burundi,Algeria,1
-0.40368980243793906,3.2923977693490802,0,1,0,1993-01-17,Ethiopia,Morocco,1
-0.5890636732412481,1.7027737949734445,0,0,1,1993-01-17,Mozambique,Gabon,1
-0.9754268609627557,3.3866581969886096,0,0,1,1993-01-17,Eswatini,Cameroon,1
-0.5707625143678825,2.44053884943401,0,1,0,1993-01-17,Togo,Zimbabwe,1
-1.0969371173685358,1.742598142153409,0,0,1,1993-01-18,Angola,Egypt,1
-0.5541469231023646,3.317203145043693,1,0,0,1993-01-20,Guinea-Bissau,Guinea,0
-1.2312039660922791,3.428827335669452,0,0,1,1993-01-20,India,Finland,1
0.6043729060137114,3.126201752195173,1,0,0,1993-01-20,Italy,Mexico,0
0.5893271939472688,3.128682289764634,0,0,1,1993-01-22,Cameroon,Finland,1
-0.5541469231023646,3.317203145043693,0,0,1,1993-01-23,Japan,Switzerland,0
0.7839509379416433,0.4043562865472366,1,0,0,1993-01-23,Ghana,Niger,0
-1.2299552440742474,0.7940063590837418,0,1,0,1993-01-23,Guinea-Bissau,Algeria,1
-0.44882693863726675,3.299839382057464,0,0,1,1993-01-23,Venezuela,Peru,0
-1.5622096315540155,3.4833991621976006,0,0,1,1993-01-24,India,Cameroon,1
-0.3435069541721688,3.282475619071235,0,1,0,1993-01-24,Malta,Portugal,1
-0.6152086957649798,0.37771196881392816,0,0,1,1993-01-24,Togo,Senegal,1
-0.9302897247634282,3.379216584280226,0,1,0,1993-01-25,Bolivia,Russia,1
-1.2994819503283905,2.6080375770365825,0,1,0,1993-01-26,India,Finland,1
1.4770242058673788,2.982330573166417,0,0,1,1993-01-27,Ecuador,Belarus,0
-0.3134155300392838,3.277514543932312,0,0,1,1993-01-27,Peru,Honduras,0
0.8803594064465778,1.8763788366135916,0,0,1,1993-01-27,Spain,Mexico,0
0.30532456820391113,2.435978730255278,1,0,0,1993-01-28,Cameroon,Finland,1
-1.0409613620600413,-0.417928233238343,1,0,0,1993-01-29,Bolivia,Honduras,0
-2.0533191430791273,1.6233635176100474,0,0,1,1993-01-30,India,Cameroon,1
1.091216389036899,1.3344872703130903,0,0,1,1993-01-30,Peru,Belarus,0
0.675568420393509,-0.06497982018955036,1,0,0,1993-01-30,Senegal,Mozambique,1
0.03263584748889469,3.220462179834702,0,0,1,1993-01-30,United States,Denmark,0
0.412149784365654,2.8806502582999336,0,1,0,1993-01-31,Congo,South Africa,1
-0.690702891574587,1.675623627777954,1,0,0,1993-01-31,Ecuador,Romania,0
1.459284902863296,2.1982657716561462,1,0,0,1993-01-31,Egypt,Togo,1
1.368032180645829,0.6825418875246948,1,0,0,1993-01-31,Ghana,Burundi,1
2.9282915701888554,-0.6599388265014611,1,0,0,1993-01-31,Morocco,Benin,1
1.9896080172474992,0.7268660910993102,1,0,0,1993-01-31,Tunisia,Ethiopia,1
0.8677200086121385,0.6029863816951594,1,0,0,1993-01-31,Zimbabwe,Angola,1
-0.5240554989694794,3.3122420699047708,0,0,1,1993-02-01,Cyprus,Poland,0
-0.40368980243793906,3.2923977693490802,0,0,1,1993-02-03,Israel,Poland,0
-0.1334073563360033,0.33195893262599624,0,1,0,1993-02-03,Peru,Romania,0
0.2282301043526478,3.1882151914317056,1,0,0,1993-02-05,Malaysia,Singapore,1
1.489689050837473,1.14387445826196,1,0,0,1993-02-06,Ghana,Indonesia,1
-0.21442505172912574,-1.2474759384552974,0,0,1,1993-02-06,United States,Romania,0
0.078121077697944,1.156671248279299,0,0,1,1993-02-07,Malaysia,Thailand,1
-0.5444528638674375,-0.4997859730305658,0,0,1,1993-02-09,Singapore,Thailand,1
-0.3975780867485563,0.1073254682715407,0,1,0,1993-02-10,Mexico,Romania,0
0.16953990997083881,2.805692378253422,0,0,1,1993-02-10,Portugal,Norway,0
-0.16410296924909792,1.5888048128468084,1,0,0,1993-02-10,Thailand,China PR,1
-0.569192635168807,3.3196836826131544,0,1,0,1993-02-13,Cyprus,Belgium,1
-0.6669053473954226,-0.31699267174906426,0,1,0,1993-02-13,United States,Russia,0
0.2893259144003003,1.4584363929918998,0,1,0,1993-02-16,Thailand,China PR,1
